#At time x allocated y bytes for process z from i to j
At time 1 allocated 60 bytes for process 1 from 0 to 63
At time 2 allocated 50 bytes for process 2 from 64 to 127
At time 6 freed 60 bytes from process 1 from 0 to 63
At time 8 allocated 400 bytes for process 3 from 512 to 1023
At time 10 freed 50 bytes from process 2 from 64 to 127
At time 10 allocated 500 bytes for process 4 from 0 to 511
At time 13 freed 400 bytes from process 3 from 512 to 1023
At time 13 allocated 500 bytes for process 5 from 512 to 1023
At time 21 freed 500 bytes from process 5 from 512 to 1023
At time 21 allocated 500 bytes for process 6 from 512 to 1023
At time 31 freed 500 bytes from process 6 from 512 to 1023
At time 43 freed 500 bytes from process 4 from 0 to 511
